iter	MultiClass
0	2.192376939
1	2.08501539
2	2.00963661
3	1.946407555
4	1.883960429
5	1.83357603
6	1.788429581
7	1.747648806
8	1.711985508
9	1.675057786
10	1.645228754
11	1.617126353
12	1.589559215
13	1.565173158
14	1.54233015
15	1.519187616
16	1.500971221
17	1.479192334
18	1.45507516
19	1.436503037
20	1.417266479
21	1.403958685
22	1.386220728
23	1.370242122
24	1.356013012
25	1.339765813
26	1.327393496
27	1.312841448
28	1.30205295
29	1.290177686
30	1.277704363
31	1.265232977
32	1.255832281
33	1.24680105
34	1.237709357
35	1.229830308
36	1.221188122
37	1.212735946
38	1.202969101
39	1.196252198
40	1.186960334
41	1.178008453
42	1.17069253
43	1.162081705
44	1.152868726
45	1.143845098
46	1.138373649
47	1.131924254
48	1.124005716
49	1.117210322
50	1.110474397
51	1.102111019
52	1.095851946
53	1.089469419
54	1.08217862
55	1.075469316
56	1.068826219
57	1.063720463
58	1.057124398
59	1.051823767
60	1.04743171
61	1.040505595
62	1.033941706
63	1.029222936
64	1.023866273
65	1.018765391
66	1.01219826
67	1.008185015
68	1.001413922
69	0.994932057
70	0.9897448291
71	0.9845298266
72	0.9792722223
73	0.9749042028
74	0.9697465539
75	0.9653408287
76	0.9600543542
77	0.9573433177
78	0.951642023
79	0.9463909086
80	0.9423128614
81	0.9368288706
82	0.9320714459
83	0.9279538025
84	0.9238185505
85	0.9180360728
86	0.91488012
87	0.908941709
88	0.9045688758
89	0.9000887408
90	0.8965258899
91	0.8911284602
92	0.8874586704
93	0.8843046839
94	0.8800737033
95	0.8761357836
96	0.8715597672
97	0.8668520656
98	0.862888772
99	0.8588164802
100	0.8553171089
101	0.8516215525
102	0.8475585487
103	0.843691943
104	0.8398323706
105	0.8365100991
106	0.8331643855
107	0.8290800545
108	0.8254855318
109	0.8224247479
110	0.819100395
111	0.8153337888
112	0.8119769537
113	0.8085208169
114	0.8050326935
115	0.8023300881
116	0.8001981766
117	0.7974335783
118	0.7932780704
119	0.7897233578
120	0.7862584937
121	0.7830285467
122	0.7788786856
123	0.775360568
124	0.771862538
125	0.7693441493
126	0.7661893261
127	0.7622830566
128	0.7599423724
129	0.7569001204
130	0.7539724035
131	0.75111967
132	0.748329713
133	0.7458389933
134	0.7428303503
135	0.7401409189
136	0.736652802
137	0.7333876909
138	0.7304095119
139	0.7285374061
140	0.7254596371
141	0.7224594049
142	0.7200536984
143	0.7157506854
144	0.7142507364
145	0.7111187893
146	0.7062546133
147	0.703243524
148	0.7001945027
149	0.6973995534
150	0.6951452945
151	0.6925332359
152	0.6904571639
153	0.6886224387
154	0.6858359003
155	0.6844668915
156	0.6822103951
157	0.6793833592
158	0.6759876588
159	0.6739472124
160	0.670593986
161	0.6682869756
162	0.6655540087
163	0.6631509288
164	0.6608932093
165	0.6592386255
166	0.6574329386
167	0.6550341235
168	0.6526682873
169	0.6496069958
170	0.6473600806
171	0.6449574552
172	0.6420601176
173	0.6399559154
174	0.6378911928
175	0.6351430999
176	0.6335597855
177	0.6317089533
178	0.6292966617
179	0.6273805461
180	0.6258409305
181	0.6234948764
182	0.6218418934
183	0.6205717072
184	0.6179596846
185	0.6155960589
186	0.6138261349
187	0.6123862642
188	0.6105346335
189	0.6089078944
190	0.6064064677
191	0.6043967266
192	0.6022049363
193	0.5991464936
194	0.5979401759
195	0.5958030814
196	0.5931289981
197	0.5902350911
198	0.5892236437
199	0.5873153845
200	0.5857765639
201	0.5843169696
202	0.5828484623
203	0.5808697711
204	0.5789939654
205	0.5771248249
206	0.5753321416
207	0.5733841276
208	0.5712530118
209	0.5693185501
210	0.5678671567
211	0.5659470637
212	0.5637886746
213	0.5618939564
214	0.5597979033
215	0.557889164
216	0.5564874973
217	0.5550315346
218	0.5525255503
219	0.5502653673
220	0.5489411608
221	0.5473712261
222	0.5461494862
223	0.5445603308
224	0.541889062
225	0.5398634147
226	0.5378323787
227	0.5364953824
228	0.5342718641
229	0.5320456453
230	0.5307263457
231	0.5296284702
232	0.5286595487
233	0.5268795958
234	0.5255450651
235	0.5245410095
236	0.5232932246
237	0.5216362968
238	0.5194404799
239	0.5175310196
240	0.5158625372
241	0.5149214107
242	0.5128879307
243	0.5114476158
244	0.5092807855
245	0.5077749806
246	0.5056866033
247	0.5035923022
248	0.5024350306
249	0.5011598881
250	0.4996399394
251	0.4985683483
252	0.4970303137
253	0.4955695729
254	0.4949099817
255	0.4936381905
256	0.4928527657
257	0.4912639348
258	0.4901338933
259	0.4882438296
260	0.4865367579
261	0.485504805
262	0.4839330704
263	0.4825266537
264	0.4810554241
265	0.4798244442
266	0.4789828141
267	0.4774882931
268	0.4766137386
269	0.4757065986
270	0.4742926927
271	0.4720469075
272	0.4709085536
273	0.4688813412
274	0.4681274665
275	0.4669809839
276	0.4651639318
277	0.4636956896
278	0.4626878188
279	0.4611931025
280	0.4593655046
281	0.45862011
282	0.4572008314
283	0.4558126609
284	0.455007679
285	0.4534426907
286	0.452399045
287	0.4515292311
288	0.4507630358
289	0.4490471454
290	0.4482265774
291	0.4471398119
292	0.4461212542
293	0.4445049835
294	0.4435948843
295	0.4424017154
296	0.4410026679
297	0.4398613651
298	0.4387887518
299	0.4380812439
300	0.436702719
301	0.4353865298
302	0.4347551267
303	0.4340741663
304	0.4331660005
305	0.4322203875
306	0.4314860915
307	0.4294905247
308	0.4280666898
309	0.4270085535
310	0.4254425366
311	0.4236524051
312	0.4222986869
313	0.4213662146
314	0.4204040675
315	0.4196930102
316	0.4185483948
317	0.4173855948
318	0.4159856747
319	0.414812099
320	0.4131532803
321	0.4120885087
322	0.4107037948
323	0.4098694022
324	0.4088233696
325	0.4080610511
326	0.4071150604
327	0.4059733444
328	0.4050515909
329	0.4037035001
330	0.4025324632
331	0.4011833839
332	0.3996106953
333	0.3987965226
334	0.3978156242
335	0.3970135162
336	0.3961769978
337	0.3950852349
338	0.3945815676
339	0.3937693717
340	0.3928394328
341	0.3918772046
342	0.390733412
343	0.3893590797
344	0.3884571107
345	0.3877097371
346	0.3870838697
347	0.3858240877
348	0.3844861176
349	0.3831925431
350	0.3821475302
351	0.3814897196
352	0.3801370377
353	0.379089874
354	0.3784250013
355	0.3781064914
356	0.3772020705
357	0.3761393048
358	0.374883778
359	0.3738449015
360	0.3728498727
361	0.3723555175
362	0.3715548985
363	0.3709682654
364	0.3689493526
365	0.3680679282
366	0.3675556726
367	0.3670505652
368	0.3664924446
369	0.3654702485
370	0.3645540976
371	0.3637048591
372	0.3628636424
373	0.3622644191
374	0.3613708319
375	0.3606475717
376	0.3596927877
377	0.3590956773
378	0.3577166333
379	0.357027853
380	0.3560902592
381	0.3553945107
382	0.3544634626
383	0.3531102965
384	0.3517862572
385	0.3510811162
386	0.3503111123
387	0.3493887741
388	0.3489014431
389	0.3479044016
390	0.3464927693
391	0.3457278768
392	0.345225755
393	0.3438718872
394	0.3431018169
395	0.342002927
396	0.3407294134
397	0.3396313299
398	0.3388746302
399	0.3380032114
400	0.3371070689
401	0.3356539569
402	0.3349825319
403	0.3344384358
404	0.3337581804
405	0.333071211
406	0.332238318
407	0.331379932
408	0.3301234998
409	0.3291005394
410	0.3284131999
411	0.3277967432
412	0.3265327076
413	0.3259923772
414	0.3253704245
415	0.3246065264
416	0.3234881469
417	0.3227572116
418	0.322198546
419	0.3213000862
420	0.3207427602
421	0.3195514517
422	0.3188648317
423	0.317998771
424	0.3174439425
425	0.3162083016
426	0.3158070302
427	0.3148982771
428	0.3142388344
429	0.3139234246
430	0.3132462576
431	0.312594254
432	0.3120039157
433	0.3117115993
434	0.3108784147
435	0.310035805
436	0.3093923799
437	0.3088248583
438	0.3080472408
439	0.3075253321
440	0.3070645086
441	0.3062548648
442	0.305779753
443	0.3051527044
444	0.3047232887
445	0.3039907088
446	0.3033974037
447	0.3023629922
448	0.3015383895
449	0.3005982322
450	0.2995125275
451	0.2986158841
452	0.2978863731
453	0.2973424891
454	0.2968193277
455	0.2963066022
456	0.2956644744
457	0.2951942167
458	0.2946357359
459	0.2938763979
460	0.2936003377
461	0.292888889
462	0.2922421862
463	0.2913602063
464	0.2909917315
465	0.2904271086
466	0.2899531621
467	0.2891787196
468	0.2883513324
469	0.2875231851
470	0.2867246931
471	0.2859068519
472	0.2851689017
473	0.2842226523
474	0.2839356282
475	0.2831643141
476	0.2825982403
477	0.2816224824
478	0.2807131381
479	0.2799398993
480	0.2795789565
481	0.2793077297
482	0.2786006317
483	0.2779844423
484	0.2776760426
485	0.2770737491
