LPC_1,LPC_2,LPC_3,LPC_4,LPC_5,LPC_6,LPC_7,LPC_8,LPC_9,LPC_10,LPC_11,LPC_12,LPC_13,LPC_14,LPC_15,LPC_16,LPC_17,LPC_18,LPC_19,LPC_20,LPC_21,LPC_22,LPC_23,LPC_24,LPC_25,LPC_26,LPC_27,LPC_28,LPC_29,LPC_30,LPC_31,Label
1.0,-2.679207,4.1656303,-6.148247,8.735358,-11.416998,14.111816,-16.85481,19.488743,-21.885464,23.874067,-25.250832,26.066282,-26.28642,25.88862,-25.009747,23.712782,-21.954887,19.848608,-17.538122,15.022357,-12.471,10.057173,-7.802941,5.797575,-4.099638,2.6951308,-1.6081741,0.8731241,-0.36854994,0.07036503,blues
1.0,-2.7339077,4.3996477,-6.4472747,9.009704,-11.755904,14.5160265,-17.345737,20.046732,-22.438677,24.384588,-25.730291,26.451244,-26.616488,26.260057,-25.410326,24.155672,-22.44038,20.37865,-18.139053,15.715206,-13.202658,10.744857,-8.4220295,6.3027477,-4.509089,3.0359912,-1.8606099,1.0363241,-0.4630493,0.106868304,blues
1.0,-2.6952648,4.263465,-6.27758,8.802847,-11.478984,14.220972,-17.04127,19.726505,-22.13024,24.07411,-25.422758,26.206738,-26.398241,26.044188,-25.224504,23.98638,-22.3082,20.26874,-17.989902,15.551895,-13.0316925,10.586297,-8.279864,6.2058716,-4.4561057,2.996128,-1.8281918,1.0267535,-0.46823728,0.09695159,blues
1.0,-2.7319877,4.307415,-6.2828646,8.774988,-11.441101,14.152956,-16.88866,19.52941,-21.890394,23.833746,-25.167831,25.888683,-26.047081,25.670345,-24.806099,23.532328,-21.835379,19.788904,-17.536024,15.088787,-12.601223,10.207314,-7.9637294,5.968029,-4.2876525,2.9015853,-1.7969289,1.0366223,-0.47899073,0.1016188,blues
1.0,-2.764792,4.421624,-6.5054016,9.115548,-11.870304,14.610076,-17.344152,19.998419,-22.413033,24.417862,-25.754807,26.447445,-26.576002,26.160963,-25.30179,24.027594,-22.34186,20.290834,-18.000288,15.52803,-12.945772,10.467182,-8.170912,6.132112,-4.396546,2.9468215,-1.8048949,1.0149672,-0.48817974,0.122782774,blues
1.0,-2.6143203,4.1495833,-6.1387863,8.455201,-10.947085,13.512768,-16.067091,18.516178,-20.721493,22.532793,-23.806097,24.55136,-24.74151,24.442156,-23.663874,22.491772,-20.913855,18.976425,-16.843412,14.514452,-12.130538,9.827137,-7.6306505,5.6908464,-4.0671697,2.7047567,-1.6501647,0.90950376,-0.38117832,0.07912988,blues
1.0,-2.6114771,4.0565763,-5.9431605,8.323427,-10.819439,13.317255,-15.863005,18.341402,-20.61346,22.4825,-23.796228,24.556978,-24.790592,24.497766,-23.717422,22.51746,-20.887127,18.91717,-16.733912,14.366803,-11.927784,9.626597,-7.478527,5.5597324,-3.954062,2.624444,-1.5939925,0.8958311,-0.40635407,0.086597465,blues
1.0,-2.786749,4.492357,-6.617739,9.243727,-11.997061,14.762514,-17.554369,20.241459,-22.62115,24.558989,-25.902554,26.62914,-26.75154,26.3164,-25.413265,24.12053,-22.420883,20.329945,-18.02227,15.565749,-12.9902935,10.515311,-8.210661,6.130526,-4.3925085,2.9671626,-1.8335087,1.0236621,-0.44938213,0.096817896,blues
1.0,-2.838862,4.6129556,-6.775995,9.560313,-12.5130625,15.487173,-18.53773,21.441105,-24.037226,26.15706,-27.62826,28.465485,-28.67001,28.259893,-27.276026,25.807907,-23.852413,21.51249,-18.960579,16.252499,-13.5086975,10.877491,-8.428537,6.238396,-4.415411,2.9169273,-1.7544171,0.96403503,-0.42878965,0.103880376,blues
1.0,-2.9172928,4.911442,-7.1443124,9.90397,-12.917647,15.904809,-18.885647,21.690544,-24.207476,26.227913,-27.637842,28.371922,-28.468088,27.991049,-27.005781,25.571152,-23.675179,21.415728,-18.923407,16.278753,-13.537357,10.862465,-8.375823,6.1793356,-4.320843,2.8112867,-1.6481178,0.85151196,-0.34013253,0.059396252,blues
1.0,-2.5861285,4.033507,-6.167851,9.012809,-11.815167,14.644977,-17.888264,20.831543,-23.420177,25.743969,-27.312696,28.13698,-28.431107,27.999746,-26.784817,25.116882,-22.98796,20.524412,-17.86042,15.0817795,-12.372504,9.866683,-7.4812694,5.419804,-3.8154795,2.4204574,-1.41258,0.7977303,-0.35082182,0.06788022,blues
1.0,-2.6057148,4.035817,-6.2102304,9.1321945,-12.0994215,15.160783,-18.555481,21.685078,-24.452961,27.01048,-28.855463,29.966282,-30.429192,30.07494,-28.996918,27.422628,-25.268732,22.639925,-19.829836,16.88468,-13.961512,11.177721,-8.594055,6.327709,-4.4396267,2.896111,-1.7230091,0.9513554,-0.43237072,0.103183016,blues
1.0,-3.0274656,5.1179576,-7.4906397,10.748407,-14.475793,18.112036,-21.986233,26.020609,-29.634783,32.53683,-34.62847,35.822544,-36.181255,35.692635,-34.335327,32.29233,-29.69624,26.596466,-23.192532,19.705715,-16.262764,12.960242,-9.963333,7.3589287,-5.1644344,3.4120293,-2.1057343,1.1783906,-0.5358165,0.14556636,blues
1.0,-2.3425372,3.3975685,-5.426588,7.8716254,-10.167084,12.835899,-15.6391945,18.185009,-20.452055,22.366362,-23.772848,24.586195,-24.803791,24.422817,-23.472078,22.057877,-20.292336,18.15547,-15.8624,13.561699,-11.189663,8.972899,-6.915883,5.0529227,-3.5873928,2.3952396,-1.4498775,0.81075233,-0.40827322,0.13042422,blues
