iter	Passed	Remaining
0	373	372698
1	538	268661
2	615	204706
3	690	171924
4	764	152228
5	839	139040
6	913	129626
7	988	122577
8	1063	117086
9	1139	112796
10	1211	108948
11	1286	105882
12	1360	103311
13	1432	100887
14	1507	98982
15	1582	97332
16	1655	95751
17	1730	94417
18	1805	93232
19	1880	92151
20	1955	91150
21	2032	90359
22	2110	89636
23	2186	88917
24	2259	88132
25	2333	87415
26	2406	86727
27	2479	86065
28	2550	85397
29	2626	84908
30	2700	84427
31	2775	83965
32	2853	83616
33	2928	83214
34	3001	82753
35	3075	82357
36	3154	82111
37	3229	81749
38	3301	81353
39	3374	80992
40	3447	80634
41	3521	80328
42	3592	79960
43	3666	79656
44	3740	79383
45	3814	79109
46	3887	78815
47	3960	78540
48	4034	78309
49	4107	78040
50	4180	77786
51	4255	77586
52	4327	77320
53	4400	77091
54	4483	77040
55	4592	77409
56	4672	77295
57	4753	77209
58	4833	77089
59	4913	76970
60	4988	76796
61	5063	76602
62	5137	76406
63	5214	76267
64	5289	76086
65	5363	75894
66	5438	75730
67	5511	75534
68	5586	75378
69	5660	75208
70	5736	75056
71	5810	74891
72	5887	74762
73	5961	74600
74	6035	74439
75	6111	74304
76	6185	74147
77	6259	73992
78	6336	73876
79	6412	73749
80	6487	73602
81	6559	73435
82	6632	73275
83	6706	73135
84	6781	73005
85	6855	72864
86	6930	72728
87	7003	72581
88	7080	72480
89	7156	72361
90	7231	72234
91	7307	72123
92	7381	71992
93	7453	71838
94	7540	71836
95	7615	71708
96	7688	71571
97	7763	71454
98	7838	71337
99	7913	71221
100	7987	71098
101	8067	71021
102	8140	70895
103	8216	70787
104	8291	70671
105	8364	70542
106	8436	70409
107	8514	70321
108	8589	70211
109	8674	70183
110	8755	70122
111	8831	70023
112	8910	69942
113	8982	69810
114	9064	69754
115	9138	69638
116	9210	69513
117	9285	69402
118	9361	69303
119	9434	69182
120	9509	69083
121	9584	68979
122	9658	68867
123	9738	68798
124	9812	68690
125	9887	68584
126	9962	68483
127	10037	68378
128	10109	68257
129	10184	68160
130	10258	68050
131	10331	67940
132	10404	67827
133	10477	67713
134	10550	67601
135	10623	67490
136	10697	67383
137	10771	67285
138	10846	67183
139	10919	67075
140	10992	66970
141	11066	66863
142	11139	66757
143	11213	66660
144	11286	66551
145	11358	66441
146	11434	66353
147	11509	66256
148	11583	66157
149	11657	66057
150	11729	65951
151	11803	65849
152	11876	65746
